,name,currency_code,local_price,dollar_ex,date
521,Argentina,ARS,20.0,4.1325,2011-07-01
522,Australia,AUD,4.56,0.922381589,2011-07-01
523,Austria,EUR,3.09,0.697520315,2011-07-01
524,Belgium,EUR,3.75,0.697520315,2011-07-01
525,Brazil,BRL,9.5,1.5416,2011-07-01
526,Canada,CAD,4.73,0.94585,2011-07-01
527,Switzerland,CHF,6.5,0.80615,2011-07-01
528,Chile,CLP,1850.0,462.75,2011-07-01
529,China,CNY,14.65,6.445,2011-07-01
530,Colombia,COP,8400.0,1770.5,2011-07-01
531,Costa Rica,CRC,2050.0,504.305,2011-07-01
532,Czech Republic,CZK,69.32,17.0219,2011-07-01
533,Germany,EUR,3.4,0.697520315,2011-07-01
534,Denmark,DKK,28.5,5.19845,2011-07-01
535,Egypt,EGP,14.09,5.962,2011-07-01
536,Spain,EUR,3.5,0.697520315,2011-07-01
537,Estonia,EUR,2.2,0.697520315,2011-07-01
538,Euro area,EUR,3.437660401,0.697520315,2011-07-01
539,Finland,EUR,3.75,0.697520315,2011-07-01
540,France,EUR,3.5,0.697520315,2011-07-01
541,Britain,GBP,2.39,0.614137444,2011-07-01
542,Greece,EUR,3.26,0.697520315,2011-07-01
543,Hong Kong,HKD,15.1,7.7918,2011-07-01
544,Hungary,HUF,760.0,188.0724,2011-07-01
545,Indonesia,IDR,22534.0,8523.0,2011-07-01
546,India,INR,84.0,44.4,2011-07-01
547,Ireland,EUR,3.8,0.697520315,2011-07-01
548,Israel,ILS,15.9,3.40335,2011-07-01
549,Italy,EUR,3.5,0.697520315,2011-07-01
550,Japan,JPY,320.0,78.365,2011-07-01
551,South Korea,KRW,3700.0,1056.2,2011-07-01
552,Sri Lanka,LKR,280.0,109.475,2011-07-01
553,Mexico,MXN,32.0,11.67075,2011-07-01
554,Malaysia,MYR,7.2,2.973,2011-07-01
555,Netherlands,EUR,3.25,0.697520315,2011-07-01
556,Norway,NOK,45.0,5.41405,2011-07-01
557,New Zealand,NZD,5.1,1.156069364,2011-07-01
558,Pakistan,PKR,205.13,86.345,2011-07-01
559,Peru,PEN,10.0,2.7375,2011-07-01
560,Philippines,PHP,118.0,42.41,2011-07-01
561,Poland,PLN,8.63,2.7968,2011-07-01
562,Portugal,EUR,2.9,0.697520315,2011-07-01
563,Russia,RUB,75.0,27.7525,2011-07-01
564,Saudi Arabia,SAR,10.0,3.7502,2011-07-01
565,Singapore,SGD,4.41,1.20705,2011-07-01
566,Sweden,SEK,48.4,6.3352,2011-07-01
567,Thailand,THB,70.0,29.75,2011-07-01
568,Turkey,TRY,6.5,1.72285,2011-07-01
569,Taiwan,TWD,75.0,28.834,2011-07-01
570,Ukraine,UAH,16.5,7.994,2011-07-01
571,Uruguay,UYU,90.0,18.45,2011-07-01
572,United States,USD,3.64,1.0,2011-07-01
573,Venezuela,VEF,28.0,4.29465,2011-07-01
574,South Africa,ZAR,19.45,6.76885,2011-07-01
575,UAE,AED,12.0,3.673,2012-01-01
576,Argentina,ARS,20.0,4.3135,2012-01-01
577,Australia,AUD,4.8,0.972337012,2012-01-01
578,Austria,EUR,3.09,0.788239467,2012-01-01
579,Belgium,EUR,3.7,0.788239467,2012-01-01
580,Brazil,BRL,10.25,1.805,2012-01-01
581,Canada,CAD,4.73,1.02095,2012-01-01
582,Switzerland,CHF,6.5,0.9551,2012-01-01
583,Chile,CLP,2050.0,506.05,2012-01-01
584,China,CNY,15.4,6.3155,2012-01-01
585,Colombia,COP,8400.0,1852.15,2012-01-01
586,Costa Rica,CRC,2050.0,509.54,2012-01-01
587,Czech Republic,CZK,70.22,20.36535,2012-01-01
588,Germany,EUR,3.53,0.788239467,2012-01-01
589,Denmark,DKK,31.5,5.86135,2012-01-01
590,Egypt,EGP,15.5,6.037,2012-01-01
591,Spain,EUR,3.5,0.788239467,2012-01-01
592,Estonia,EUR,2.04,0.788239467,2012-01-01
593,Euro area,EUR,3.49245637,0.788239467,2012-01-01
594,Finland,EUR,3.75,0.788239467,2012-01-01
595,France,EUR,3.6,0.788239467,2012-01-01
596,Britain,GBP,2.49,0.651253663,2012-01-01
597,Greece,EUR,3.3,0.788239467,2012-01-01
598,Hong Kong,HKD,16.5,7.76735,2012-01-01
599,Hungary,HUF,645.0,245.69425,2012-01-01
600,Indonesia,IDR,22534.0,9160.0,2012-01-01
601,India,INR,84.0,51.905,2012-01-01
602,Ireland,EUR,3.8,0.788239467,2012-01-01
603,Israel,ILS,15.9,3.8485,2012-01-01
604,Italy,EUR,3.5,0.788239467,2012-01-01
605,Japan,JPY,320.0,76.92,2012-01-01
606,South Korea,KRW,3700.0,1158.75,2012-01-01
607,Sri Lanka,LKR,290.0,113.93,2012-01-01
608,Mexico,MXN,37.0,13.6844,2012-01-01
609,Malaysia,MYR,7.35,3.13955,2012-01-01
610,Netherlands,EUR,3.25,0.788239467,2012-01-01
611,Norway,NOK,41.0,6.0399,2012-01-01
612,New Zealand,NZD,5.1,1.26000126,2012-01-01
613,Pakistan,PKR,260.0,90.05,2012-01-01
614,Peru,PEN,10.0,2.6925,2012-01-01
615,Philippines,PHP,118.0,44.005,2012-01-01
616,Poland,PLN,9.1,3.52045,2012-01-01
617,Portugal,EUR,2.9,0.788239467,2012-01-01
618,Russia,RUB,81.0,31.7693,2012-01-01
619,Saudi Arabia,SAR,10.0,3.7502,2012-01-01
620,Singapore,SGD,4.85,1.2928,2012-01-01
621,Sweden,SEK,41.0,6.9338,2012-01-01
622,Thailand,THB,78.0,31.75,2012-01-01
623,Turkey,TRY,6.6,1.86295,2012-01-01
624,Taiwan,TWD,75.0,29.9795,2012-01-01
625,Ukraine,UAH,17.0,8.0405,2012-01-01
626,Uruguay,UYU,90.0,19.45,2012-01-01
627,United States,USD,3.81,1.0,2012-01-01
628,Venezuela,VEF,30.0,4.29465,2012-01-01
629,South Africa,ZAR,19.95,8.1304,2012-01-01
630,UAE,AED,12.0,3.67295,2012-07-01
631,Argentina,ARS,19.0,4.56625,2012-07-01
632,Australia,AUD,4.56,0.974326497,2012-07-01
633,Austria,EUR,3.19,0.824844311,2012-07-01
634,Belgium,EUR,3.8,0.824844311,2012-07-01
635,Brazil,BRL,10.08,2.04215,2012-07-01
636,Canada,CAD,5.12,1.01945,2012-07-01
637,Switzerland,CHF,6.5,0.9906,2012-07-01
638,Chile,CLP,2050.0,493.05,2012-07-01
639,China,CNY,15.65,6.3885,2012-07-01
640,Colombia,COP,8600.0,1804.475,2012-07-01
641,Czech Republic,CZK,70.33,21.048,2012-07-01
642,Germany,EUR,3.64,0.824844311,2012-07-01
643,Denmark,DKK,28.5,6.1356,2012-07-01
644,Egypt,EGP,16.0,6.0665,2012-07-01
645,Spain,EUR,3.5,0.824844311,2012-07-01
646,Estonia,EUR,2.04,0.824844311,2012-07-01
647,Euro area,EUR,3.583482241,0.824844311,2012-07-01
648,Finland,EUR,3.75,0.824844311,2012-07-01
649,France,EUR,3.6,0.824844311,2012-07-01
650,Britain,GBP,2.69,0.646266197,2012-07-01
651,Greece,EUR,2.683,0.824844311,2012-07-01
652,Hong Kong,HKD,16.5,7.75815,2012-07-01
653,Hungary,HUF,830.0,238.2151,2012-07-01
654,Indonesia,IDR,24200.0,9482.5,2012-07-01
655,India,INR,89.0,56.165,2012-07-01
656,Ireland,EUR,3.49,0.824844311,2012-07-01
657,Israel,ILS,11.9,4.07625,2012-07-01
658,Italy,EUR,3.6,0.824844311,2012-07-01
659,Japan,JPY,320.0,78.22,2012-07-01
660,South Korea,KRW,3700.0,1151.0,2012-07-01
661,Sri Lanka,LKR,290.0,131.0,2012-07-01
662,Mexico,MXN,37.0,13.687,2012-07-01
663,Malaysia,MYR,7.4,3.1735,2012-07-01
664,Netherlands,EUR,3.38,0.824844311,2012-07-01
665,Norway,NOK,43.0,6.09205,2012-07-01
666,New Zealand,NZD,5.1,1.273560876,2012-07-01
667,Pakistan,PKR,285.0,94.605,2012-07-01
668,Philippines,PHP,118.0,42.2,2012-07-01
669,Poland,PLN,9.1,3.46035,2012-07-01
670,Portugal,EUR,4.95,0.824844311,2012-07-01
671,Russia,RUB,75.0,32.76525,2012-07-01
672,Saudi Arabia,SAR,10.0,3.75025,2012-07-01
673,Singapore,SGD,4.4,1.2585,2012-07-01
674,Sweden,SEK,39.97301987,6.9777,2012-07-01
675,Thailand,THB,82.0,31.7,2012-07-01
676,Turkey,TRY,8.25,1.8269,2012-07-01
677,Taiwan,TWD,75.0,30.1955,2012-07-01
678,Ukraine,UAH,15.0,8.0855,2012-07-01
679,Uruguay,UYU,99.0,21.87,2012-07-01
680,United States,USD,3.96,1.0,2012-07-01
681,Venezuela,VEF,34.0,4.29465,2012-07-01
682,South Africa,ZAR,19.95,8.4683,2012-07-01
683,UAE,AED,12.0,3.67305,2013-01-01
684,Argentina,ARS,19.0,4.9765,2013-01-01
685,Australia,AUD,4.7,0.959094615,2013-01-01
686,Austria,EUR,3.39,0.736946829,2013-01-01
687,Belgium,EUR,3.8,0.736946829,2013-01-01
688,Brazil,BRL,11.25,1.99335,2013-01-01
689,Canada,CAD,5.41,1.0029,2013-01-01
690,Switzerland,CHF,6.5,0.9123,2013-01-01
691,Chile,CLP,2050.0,471.75,2013-01-01
692,China,CNY,16.0,6.2204,2013-01-01
693,Colombia,COP,8600.0,1773.175,2013-01-01
694,Costa Rica,CRC,2200.0,500.83,2013-01-01
695,Czech Republic,CZK,70.33,18.89495,2013-01-01
696,Germany,EUR,3.64,0.736946829,2013-01-01
697,Denmark,DKK,28.5,5.49795,2013-01-01
698,Egypt,EGP,16.0,6.68575,2013-01-01
699,Spain,EUR,3.5,0.736946829,2013-01-01
700,Estonia,EUR,2.7,0.736946829,2013-01-01
701,Euro area,EUR,3.594849572,0.736946829,2013-01-01
702,Finland,EUR,3.75,0.736946829,2013-01-01
703,France,EUR,3.6,0.736946829,2013-01-01
704,Britain,GBP,2.69,0.633211968,2013-01-01
705,Greece,EUR,3.3,0.736946829,2013-01-01
706,Hong Kong,HKD,17.0,7.7591,2013-01-01
707,Hungary,HUF,830.0,217.46935,2013-01-01
708,Indonesia,IDR,27939.0,9767.5,2013-01-01
709,India,INR,89.0,53.395,2013-01-01
710,Ireland,EUR,3.49,0.736946829,2013-01-01
711,Israel,ILS,14.9,3.72455,2013-01-01
712,Italy,EUR,3.85,0.736946829,2013-01-01
713,Japan,JPY,320.0,91.065,2013-01-01
714,South Korea,KRW,3700.0,1085.475,2013-01-01
715,Sri Lanka,LKR,350.0,126.45,2013-01-01
716,Mexico,MXN,37.0,12.7384,2013-01-01
717,Malaysia,MYR,7.95,3.083,2013-01-01
718,Netherlands,EUR,3.45,0.736946829,2013-01-01
719,Norway,NOK,43.0,5.4831,2013-01-01
720,New Zealand,NZD,5.2,1.202428906,2013-01-01
721,Pakistan,PKR,290.0,97.665,2013-01-01
722,Peru,PEN,10.0,2.5595,2013-01-01
723,Philippines,PHP,118.0,40.6,2013-01-01
724,Poland,PLN,9.1,3.092,2013-01-01
725,Portugal,EUR,2.95,0.736946829,2013-01-01
726,Russia,RUB,72.88,30.045,2013-01-01
727,Saudi Arabia,SAR,11.0,3.7502,2013-01-01
728,Singapore,SGD,4.5,1.23485,2013-01-01
729,Sweden,SEK,40.55930138,6.3492,2013-01-01
730,Thailand,THB,87.0,29.755,2013-01-01
731,Turkey,TRY,8.45,1.76875,2013-01-01
732,Taiwan,TWD,75.0,29.502,2013-01-01
733,Ukraine,UAH,19.0,8.144,2013-01-01
734,Uruguay,UYU,105.0,19.28,2013-01-01
735,United States,USD,4.03,1.0,2013-01-01
736,Venezuela,VEF,39.0,4.29465,2013-01-01
737,South Africa,ZAR,20.9,9.047,2013-01-01
738,UAE,AED,12.0,3.673,2013-07-01
739,Argentina,ARS,21.0,5.4125,2013-07-01
740,Australia,AUD,5.035,1.089858863,2013-07-01
741,Austria,EUR,3.39,0.777756173,2013-07-01
742,Belgium,EUR,3.7,0.777756173,2013-07-01
743,Brazil,BRL,12.0,2.27065,2013-07-01
744,Canada,CAD,5.53,1.05125,2013-07-01
745,Switzerland,CHF,6.5,0.9674,2013-07-01
746,Chile,CLP,2000.0,508.155,2013-07-01
747,China,CNY,16.0,6.1341,2013-07-01
748,Colombia,COP,8600.0,1921.0,2013-07-01
749,Costa Rica,CRC,2150.0,498.675,2013-07-01
750,Czech Republic,CZK,70.45,20.1828,2013-07-01
751,Germany,EUR,3.64,0.777756173,2013-07-01
752,Denmark,DKK,28.5,5.8006,2013-07-01
753,Egypt,EGP,16.75,7.00915,2013-07-01
754,Spain,EUR,3.5,0.777756173,2013-07-01
755,Estonia,EUR,2.75,0.777756173,2013-07-01
756,Euro area,EUR,3.623870489,0.777756173,2013-07-01
757,Finland,EUR,4.1,0.777756173,2013-07-01
758,France,EUR,3.9,0.777756173,2013-07-01
759,Britain,GBP,2.69,0.669142494,2013-07-01
760,Greece,EUR,2.6,0.777756173,2013-07-01
761,Hong Kong,HKD,17.0,7.75665,2013-07-01
762,Hungary,HUF,860.0,228.462,2013-07-01
763,Indonesia,IDR,27939.0,9965.0,2013-07-01
764,India,INR,90.0,59.98,2013-07-01
765,Ireland,EUR,3.46,0.777756173,2013-07-01
766,Israel,ILS,17.5,3.64595,2013-07-01
767,Italy,EUR,3.75,0.777756173,2013-07-01
768,Japan,JPY,320.0,100.105,2013-07-01
769,South Korea,KRW,3900.0,1135.7,2013-07-01
770,Sri Lanka,LKR,370.0,130.8,2013-07-01
771,Mexico,MXN,37.0,12.94115,2013-07-01
772,Malaysia,MYR,7.3,3.1805,2013-07-01
773,Netherlands,EUR,3.45,0.777756173,2013-07-01
774,Norway,NOK,46.0,6.1281,2013-07-01
775,New Zealand,NZD,5.5,1.279344975,2013-07-01
776,Pakistan,PKR,300.0,100.035,2013-07-01
777,Peru,PEN,10.0,2.783,2013-07-01
778,Philippines,PHP,115.21,43.44,2013-07-01
779,Poland,PLN,9.2,3.3655,2013-07-01
780,Portugal,EUR,2.95,0.777756173,2013-07-01
781,Russia,RUB,87.0,32.9389,2013-07-01
782,Saudi Arabia,SAR,10.0,3.7502,2013-07-01
783,Singapore,SGD,4.7,1.2747,2013-07-01
784,Sweden,SEK,41.61,6.7583,2013-07-01
785,Thailand,THB,89.0,31.275,2013-07-01
786,Turkey,TRY,8.5,1.95745,2013-07-01
787,Taiwan,TWD,79.0,30.0285,2013-07-01
788,Ukraine,UAH,19.0,8.155,2013-07-01
789,Uruguay,UYU,105.0,21.085,2013-07-01
790,United States,USD,4.18,1.0,2013-07-01
791,Venezuela,VEF,45.0,6.2921,2013-07-01
792,South Africa,ZAR,22.5,10.04725,2013-07-01
793,UAE,AED,12.0,3.673,2014-01-01
794,Argentina,ARS,21.0,6.92125,2014-01-01
795,Australia,AUD,5.05,1.128859288,2014-01-01
796,Austria,EUR,3.39,0.737218475,2014-01-01
797,Belgium,EUR,3.95,0.737218475,2014-01-01
798,Brazil,BRL,12.4,2.36305,2014-01-01
799,Canada,CAD,5.54,1.1051,2014-01-01
800,Switzerland,CHF,6.5,0.91005,2014-01-01
801,Chile,CLP,2000.0,541.95,2014-01-01
802,China,CNY,16.6,6.0513,2014-01-01
803,Colombia,COP,8600.0,1982.795,2014-01-01
804,Costa Rica,CRC,2150.0,501.92,2014-01-01
805,Czech Republic,CZK,70.45,20.2838,2014-01-01
806,Germany,EUR,3.67,0.737218475,2014-01-01
807,Denmark,DKK,28.5,5.5014,2014-01-01
808,Egypt,EGP,16.93,6.961,2014-01-01
809,Spain,EUR,3.65,0.737218475,2014-01-01
810,Estonia,EUR,2.8,0.737218475,2014-01-01
811,Euro area,EUR,3.657962724,0.737218475,2014-01-01
812,Finland,EUR,4.1,0.737218475,2014-01-01
813,France,EUR,3.8,0.737218475,2014-01-01
814,Britain,GBP,2.79,0.603009015,2014-01-01
815,Greece,EUR,3.05,0.737218475,2014-01-01
816,Hong Kong,HKD,18.0,7.75785,2014-01-01
817,Hungary,HUF,860.0,223.09705,2014-01-01
818,Indonesia,IDR,27939.0,12140.0,2014-01-01
819,India,INR,95.0,61.845,2014-01-01
820,Ireland,EUR,3.46,0.737218475,2014-01-01
821,Israel,ILS,17.5,3.4882,2014-01-01
822,Italy,EUR,3.85,0.737218475,2014-01-01
823,Japan,JPY,310.0,104.245,2014-01-01
824,South Korea,KRW,3700.0,1067.3,2014-01-01
825,Sri Lanka,LKR,350.0,130.8,2014-01-01
826,Lithuania,EUR,8.8,2.5454,2014-01-01
827,Mexico,MXN,37.0,13.33275,2014-01-01
828,Malaysia,MYR,7.4,3.3235,2014-01-01
829,Netherlands,EUR,3.45,0.737218475,2014-01-01
830,Norway,NOK,48.0,6.15745,2014-01-01
831,New Zealand,NZD,5.5,1.203007519,2014-01-01
832,Pakistan,PKR,320.0,105.415,2014-01-01
833,Peru,PEN,10.0,2.8065,2014-01-01
834,Philippines,PHP,135.0,45.23,2014-01-01
835,Poland,PLN,9.2,3.0684,2014-01-01
836,Portugal,EUR,3.0,0.737218475,2014-01-01
837,Russia,RUB,89.0,33.93925,2014-01-01
838,Saudi Arabia,SAR,11.0,3.7504,2014-01-01
839,Singapore,SGD,4.6,1.27885,2014-01-01
840,Sweden,SEK,40.7,6.47315,2014-01-01
841,Thailand,THB,96.0,32.875,2014-01-01
842,Turkey,TRY,8.5,2.26155,2014-01-01
843,Taiwan,TWD,79.0,30.161,2014-01-01
844,Ukraine,UAH,19.0,8.379,2014-01-01
845,Uruguay,UYU,105.0,21.38,2014-01-01
846,United States,USD,4.24,1.0,2014-01-01
847,Venezuela,VEF,45.0,6.2921,2014-01-01
848,South Africa,ZAR,23.5,10.87765,2014-01-01
849,UAE,AED,13.0,3.67305,2014-07-01
850,Argentina,ARS,21.0,8.16875,2014-07-01
851,Australia,AUD,5.1,1.059378145,2014-07-01
852,Austria,EUR,3.39,0.742748914,2014-07-01
853,Belgium,EUR,3.7,0.742748914,2014-07-01
854,Brazil,BRL,13.0,2.22025,2014-07-01
855,Canada,CAD,5.64,1.07405,2014-07-01
856,Switzerland,CHF,6.16,0.9024,2014-07-01
857,Chile,CLP,2100.0,564.14,2014-07-01
858,China,CNY,16.9,6.1983,2014-07-01
859,Colombia,COP,8600.0,1847.65,2014-07-01
860,Costa Rica,CRC,2150.0,537.3,2014-07-01
861,Czech Republic,CZK,70.45,20.3877,2014-07-01
862,Germany,EUR,3.67,0.742748914,2014-07-01
863,Denmark,DKK,28.5,5.5388,2014-07-01
864,Egypt,EGP,16.93,7.15005,2014-07-01
865,Spain,EUR,3.65,0.742748914,2014-07-01
866,Estonia,EUR,2.9,0.742748914,2014-07-01
867,Euro area,EUR,3.67923829,0.742748914,2014-07-01
868,Finland,EUR,4.1,0.742748914,2014-07-01
869,France,EUR,3.9,0.742748914,2014-07-01
870,Britain,GBP,2.89,0.586785589,2014-07-01
871,Greece,EUR,3.05,0.742748914,2014-07-01
872,Hong Kong,HKD,18.8,7.75045,2014-07-01
873,Hungary,HUF,860.0,228.30615,2014-07-01
874,Indonesia,IDR,27939.0,11505.0,2014-07-01
875,India,INR,105.0,60.08875,2014-07-01
876,Ireland,EUR,3.49,0.742748914,2014-07-01
877,Israel,ILS,17.5,3.4138,2014-07-01
878,Italy,EUR,3.85,0.742748914,2014-07-01
879,Japan,JPY,370.0,101.53,2014-07-01
880,South Korea,KRW,4100.0,1023.75,2014-07-01
881,Sri Lanka,LKR,350.0,130.255,2014-07-01
882,Lithuania,EUR,8.95,2.56455,2014-07-01
883,Mexico,MXN,42.0,12.93255,2014-07-01
884,Malaysia,MYR,7.63,3.1675,2014-07-01
885,Netherlands,EUR,3.45,0.742748914,2014-07-01
886,Norway,NOK,48.0,6.1873,2014-07-01
887,New Zealand,NZD,5.7,1.152737752,2014-07-01
888,Pakistan,PKR,300.0,98.68,2014-07-01
889,Peru,PEN,10.0,2.788,2014-07-01
890,Philippines,PHP,160.0,43.205,2014-07-01
891,Poland,PLN,9.2,3.0714,2014-07-01
892,Portugal,EUR,3.0,0.742748914,2014-07-01
893,Russia,RUB,89.0,34.83725,2014-07-01
894,Saudi Arabia,SAR,11.0,3.75035,2014-07-01
895,Singapore,SGD,4.7,1.238,2014-07-01
896,Sweden,SEK,40.7,6.836,2014-07-01
897,Thailand,THB,99.0,31.78,2014-07-01
898,Turkey,TRY,9.25,2.09125,2014-07-01
899,Taiwan,TWD,79.0,29.982,2014-07-01
900,Ukraine,UAH,19.0,11.685,2014-07-01
901,Uruguay,UYU,113.0,22.97,2014-07-01
902,United States,USD,4.29,1.0,2014-07-01
903,Venezuela,VEF,75.0,11.0,2014-07-01
904,Vietnam,VND,60000.0,21230.0,2014-07-01
905,South Africa,ZAR,24.5,10.5145,2014-07-01
906,UAE,AED,13.0,3.67305,2015-01-01
907,Argentina,ARS,28.0,8.61,2015-01-01
908,Australia,AUD,5.3,1.227219734,2015-01-01
909,Austria,EUR,3.39,0.863073404,2015-01-01
910,Belgium,EUR,3.7,0.863073404,2015-01-01
911,Brazil,BRL,13.5,2.59275,2015-01-01
912,Canada,CAD,5.7,1.22855,2015-01-01
913,Switzerland,CHF,6.5,0.86165,2015-01-01
914,Chile,CLP,2100.0,627.485,2015-01-01
915,China,CNY,17.2,6.2115,2015-01-01
916,Colombia,COP,7900.0,2364.98,2015-01-01
917,Costa Rica,CRC,2150.0,536.09,2015-01-01
918,Czech Republic,CZK,70.45,24.13325,2015-01-01
919,Germany,EUR,3.67,0.863073404,2015-01-01
920,Denmark,DKK,34.5,6.4174,2015-01-01
921,Egypt,EGP,16.93,7.35005,2015-01-01
922,Spain,EUR,3.65,0.863073404,2015-01-01
923,Estonia,EUR,2.9,0.863073404,2015-01-01
924,Euro area,EUR,3.68,0.863073404,2015-01-01
925,Finland,EUR,4.1,0.863073404,2015-01-01
926,France,EUR,3.9,0.863073404,2015-01-01
927,Britain,GBP,2.89,0.661594443,2015-01-01
928,Greece,EUR,3.05,0.863073404,2015-01-01
929,Hong Kong,HKD,18.8,7.75135,2015-01-01
930,Hungary,HUF,860.0,271.39345,2015-01-01
931,Indonesia,IDR,27939.0,12480.0,2015-01-01
932,India,INR,116.25,61.615,2015-01-01
933,Ireland,EUR,3.49,0.863073404,2015-01-01
934,Israel,ILS,17.5,3.93415,2015-01-01
935,Italy,EUR,3.85,0.863073404,2015-01-01
936,Japan,JPY,370.0,117.765,2015-01-01
937,South Korea,KRW,4100.0,1083.3,2015-01-01
938,Sri Lanka,LKR,350.0,131.875,2015-01-01
939,Mexico,MXN,49.0,14.6275,2015-01-01
940,Malaysia,MYR,7.63,3.6155,2015-01-01
941,Netherlands,EUR,3.45,0.863073404,2015-01-01
942,Norway,NOK,48.0,7.6225,2015-01-01
943,New Zealand,NZD,5.9,1.313283866,2015-01-01
944,Pakistan,PKR,300.0,100.735,2015-01-01
945,Peru,PEN,10.0,3.008,2015-01-01
946,Philippines,PHP,163.0,44.41,2015-01-01
947,Poland,PLN,9.2,3.7066,2015-01-01
948,Portugal,EUR,3.0,0.863073404,2015-01-01
949,Russia,RUB,89.0,65.227,2015-01-01
950,Saudi Arabia,SAR,11.0,3.7569,2015-01-01
951,Singapore,SGD,4.7,1.33315,2015-01-01
952,Sweden,SEK,40.7,8.19145,2015-01-01
953,Thailand,THB,99.0,32.605,2015-01-01
954,Turkey,TRY,9.25,2.33345,2015-01-01
955,Taiwan,TWD,79.0,31.493,2015-01-01
956,Ukraine,UAH,19.0,15.822,2015-01-01
957,Uruguay,UYU,113.0,24.425,2015-01-01
958,United States,USD,4.29,1.0,2015-01-01
959,Venezuela,VEF,132.0,52.1021,2015-01-01
960,Vietnam,VND,60000.0,21380.0,2015-01-01
961,South Africa,ZAR,25.5,11.47875,2015-01-01
962,UAE,AED,13.0,3.67295,2015-07-01
963,Argentina,ARS,28.0,9.135,2015-07-01
964,Australia,AUD,5.3,1.35126005,2015-07-01
965,Austria,EUR,3.39,0.912700224,2015-07-01
966,Belgium,EUR,3.7,0.912700224,2015-07-01
967,Brazil,BRL,13.5,3.15235,2015-07-01
968,Canada,CAD,5.85,1.2897,2015-07-01
969,Switzerland,CHF,6.5,0.9528,2015-07-01
970,Chile,CLP,2100.0,642.45,2015-07-01
971,China,CNY,17.0,6.2092,2015-07-01
972,Colombia,COP,7900.0,2708.9,2015-07-01
973,Costa Rica,CRC,2150.0,533.3,2015-07-01
974,Czech Republic,CZK,70.0,24.70225,2015-07-01
975,Germany,EUR,3.59,0.912700224,2015-07-01
976,Denmark,DKK,34.59,6.81105,2015-07-01
977,Egypt,EGP,16.93,7.83005,2015-07-01
978,Spain,EUR,3.65,0.912700224,2015-07-01
979,Estonia,EUR,2.95,0.912700224,2015-07-01
980,Euro area,EUR,3.7,0.912700224,2015-07-01
981,Finland,EUR,4.1,0.912700224,2015-07-01
982,France,EUR,4.1,0.912700224,2015-07-01
983,Britain,GBP,2.89,0.640450877,2015-07-01
984,Greece,EUR,3.05,0.912700224,2015-07-01
985,Hong Kong,HKD,19.2,7.7508,2015-07-01
986,Hungary,HUF,900.0,282.8778,2015-07-01
987,Indonesia,IDR,30500.0,13344.5,2015-07-01
988,India,INR,116.25,63.43,2015-07-01
989,Ireland,EUR,3.7,0.912700224,2015-07-01
990,Israel,ILS,17.5,3.77835,2015-07-01
991,Italy,EUR,4.0,0.912700224,2015-07-01
992,Japan,JPY,370.0,123.935,2015-07-01
993,South Korea,KRW,4300.0,1143.5,2015-07-01
994,Sri Lanka,LKR,350.0,133.85,2015-07-01
995,Mexico,MXN,49.0,15.73975,2015-07-01
996,Malaysia,MYR,7.65,3.8065,2015-07-01
997,Netherlands,EUR,3.45,0.912700224,2015-07-01
998,Norway,NOK,46.0,8.14255,2015-07-01
999,New Zealand,NZD,5.9,1.509092281,2015-07-01
1000,Pakistan,PKR,350.0,101.7,2015-07-01
1001,Peru,PEN,10.0,3.1835,2015-07-01
1002,Philippines,PHP,163.0,45.2125,2015-07-01
1003,Poland,PLN,9.6,3.7736,2015-07-01
1004,Portugal,EUR,3.0,0.912700224,2015-07-01
1005,Russia,RUB,107.0,56.815,2015-07-01
1006,Saudi Arabia,SAR,12.0,3.75055,2015-07-01
1007,Singapore,SGD,4.7,1.3664,2015-07-01
1008,Sweden,SEK,43.7,8.52265,2015-07-01
1009,Thailand,THB,108.0,34.0875,2015-07-01
1010,Turkey,TRY,10.25,2.6457,2015-07-01
1011,Taiwan,TWD,79.0,31.02,2015-07-01
1012,Ukraine,UAH,34.0,21.95,2015-07-01
1013,Uruguay,UYU,113.0,27.345,2015-07-01
1014,United States,USD,4.29,1.0,2015-07-01
1015,Venezuela,VEF,132.0,197.0,2015-07-01
1016,Vietnam,VND,60000.0,21810.0,2015-07-01
1017,South Africa,ZAR,26.0,12.41455,2015-07-01
1018,UAE,AED,13.0,3.6731,2016-01-01
1019,Argentina,ARS,33.0,13.80925,2016-01-01
1020,Australia,AUD,5.3,1.415728746,2016-01-01
1021,Austria,EUR,3.5,0.930232558,2016-01-01
1022,Belgium,EUR,3.95,0.930232558,2016-01-01
1023,Brazil,BRL,13.5,4.0248,2016-01-01
1024,Canada,CAD,5.84,1.4092,2016-01-01
1025,Switzerland,CHF,6.5,1.0088,2016-01-01
1026,Chile,CLP,2100.0,715.215,2016-01-01
1027,China,CNY,17.6,6.5582,2016-01-01
1028,Colombia,COP,7900.0,3253.9,2016-01-01
1029,Costa Rica,CRC,2150.0,535.25,2016-01-01
1030,Czech Republic,CZK,75.0,25.1442,2016-01-01
1031,Germany,EUR,3.59,0.930232558,2016-01-01
1032,Denmark,DKK,30.0,6.9405,2016-01-01
1033,Egypt,EGP,16.93,7.83005,2016-01-01
1034,Spain,EUR,3.5,0.930232558,2016-01-01
1035,Estonia,EUR,3.0,0.930232558,2016-01-01
1036,Euro area,EUR,3.72,0.930232558,2016-01-01
